,Name,Links,Cost,Cuisines,Timings,Price Range,Rating,American,Andhra,Arabian,Asian,BBQ,Bakery,Beverages,Biryani,Burger,Cafe,Chinese,Continental,Desserts,European,Fast Food,Finger Food,Goan,Healthy Food,Hyderabadi,Ice Cream,Indonesian,Italian,Japanese,Juices,Kebab,Lebanese,Malaysian,Mediterranean,Mexican,Mithai,Modern Indian,Momos,Mughlai,North Eastern,North Indian,Pizza,Salad,Seafood,South Indian,Spanish,Street Food,Sushi,Thai,Wraps,Total_Cuisines,cluster_kmean,cluster_gmm
0,Beyond Flavours,https://www.zomato.com/hyderabad/beyond-flavours-gachibowli,800,"['Chinese', 'Continental', 'Kebab', 'European', 'South Indian', 'North Indian']","12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)",700-800,4.28,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,1,1
1,Paradise,https://www.zomato.com/hyderabad/paradise-gachibowli,800,"['Biryani', 'North Indian', 'Chinese']",11 AM to 11 PM,700-800,4.7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,4
2,Flechazo,https://www.zomato.com/hyderabad/flechazo-gachibowli,1300,"['Asian', 'Mediterranean', 'North Indian', 'Desserts']","11:30 AM to 4:30 PM, 6:30 PM to 11 PM",1000-1500,4.66,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,4
3,Shah Ghouse Hotel & Restaurant,https://www.zomato.com/hyderabad/shah-ghouse-hotel-restaurant-gachibowli,800,"['Biryani', 'North Indian', 'Chinese', 'Seafood', 'Beverages']",12 Noon to 2 AM,700-800,3.21,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,0
4,Over The Moon Brew Company,https://www.zomato.com/hyderabad/over-the-moon-brew-company-gachibowli,1200,"['Asian', 'Continental', 'North Indian', 'Chinese', 'Mediterranean']","12noon to 11pm (Mon, Tue, Wed, Thu, Sun), 12noon to 12midnight (Fri-Sat)",1000-1500,4.34,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,3,4
5,The Fisherman's Wharf,https://www.zomato.com/hyderabad/the-fishermans-wharf-gachibowli,1500,"['Seafood', 'Goan', 'North Indian', 'Continental', 'Asian']","12Noon to 3:30PM, 4PM to 6:30PM, 7PM to 11:30PM (Mon, Tue, Wed, Thu, Sun), 12Noon to 3:30PM, 4PM to 6:30PM, 7PM to 12Midnight (Fri-Sat)",1000-1500,4.22,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,3,4
6,eat.fit,https://www.zomato.com/hyderabad/eat-fit-gachibowli,500,"['Healthy Food', 'North Indian', 'Continental', 'South Indian']",7 AM to 10 PM,Below 500,3.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0
7,Shah Ghouse Spl Shawarma,https://www.zomato.com/hyderabad/shah-ghouse-spl-shawarma-gachibowli,300,['Lebanese'],12 Noon to 12 Midnight,Below 500,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
8,Hyper Local,https://www.zomato.com/hyderabad/hyper-local-gachibowli,1000,"['American', 'Chinese', 'North Indian', 'Kebab', 'South Indian']",12 Noon to 12 Midnight,900-1000,3.64,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,2,3
9,Cream Stone,https://www.zomato.com/hyderabad/cream-stone-gachibowli,350,"['Ice Cream', 'Desserts']","10 AM to 1 AM (Mon-Thu), 10 AM to 1:30 AM (Fri-Sun)",Below 500,3.845,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2
10,Sardarji's Chaats & More,https://www.zomato.com/hyderabad/sardarjis-chaats-more-gachibowli,400,"['Street Food', 'North Indian', 'Fast Food']","12 Noon to 3:30 PM, 7 PM to 10:30 PM",Below 500,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0
11,Barbeque Nation,https://www.zomato.com/hyderabad/barbeque-nation-gachibowli,1600,"['Mediterranean', 'North Indian', 'Kebab', 'BBQ']","12 Noon to 3:30 PM, 6:30 PM to 11:30 PM",1500-2000,4.12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,1
12,Absolute Sizzlers,https://www.zomato.com/hyderabad/absolute-sizzlers-gachibowli,750,"['Continental', 'American', 'Chinese']",11:30 AM to 1 AM,700-800,3.62,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
13,The Lal Street - Bar Exchange,https://www.zomato.com/hyderabad/the-lal-street-bar-exchange-gachibowli,1300,"['North Indian', 'Italian', 'Finger Food']",12noon to 12midnight (Mon-Sun),1000-1500,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,3
14,AB's - Absolute Barbecues,https://www.zomato.com/hyderabad/abs-absolute-barbecues-gachibowli,1500,"['European', 'Mediterranean', 'North Indian']","12 Noon to 4:30 PM, 6:30 PM to 11:30 PM",1000-1500,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,4
15,KFC,https://www.zomato.com/hyderabad/kfc-gachibowli,500,"['Burger', 'Fast Food']",11 AM to 11 PM,Below 500,2.85,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
16,NorFest - The Dhaba,https://www.zomato.com/hyderabad/norfest-the-dhaba-gachibowli,550,['North Indian'],12 Noon to 10:30 PM,500-600,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2
17,Hotel Zara Hi-Fi,https://www.zomato.com/hyderabad/hotel-zara-gachibowli,400,"['Chinese', 'North Indian']",11:30 AM to 1 AM,Below 500,2.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
18,10 Downing Street,https://www.zomato.com/hyderabad/10-downing-street-gachibowli,1900,"['North Indian', 'Chinese', 'Continental']",12 Noon to 12 Midnight,1500-2000,3.8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,1
19,Pakwaan Grand,https://www.zomato.com/hyderabad/pakwaan-grand-gachibowli,400,"['North Indian', 'Chinese', 'Biryani']",12 Noon to 11 PM,Below 500,2.71,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
20,13 Dhaba,https://www.zomato.com/hyderabad/13-dhaba-gachibowli,450,['North Indian'],"12:30 PM to 10 PM (Tue-Sun), Mon Closed",Below 500,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2
21,Jonathan's Kitchen - Holiday Inn Express & Suites,https://www.zomato.com/hyderabad/jonathans-kitchen-holiday-inn-express-suites-gachibowli,1900,"['North Indian', 'Japanese', 'Italian', 'Salad', 'Sushi']","11:30 AM to 3 PM, 7 PM to 11 PM",1500-2000,3.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,5,2,1
22,B-Dubs,https://www.zomato.com/hyderabad/b-dubs-gachibowli,1600,['American'],"11am to 11:30pm (Mon, Tue, Wed, Thu, Sun), 11am to 12midnight (Fri-Sat)",1500-2000,4.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
23,Amul,https://www.zomato.com/hyderabad/amul-gachibowli,150,"['Ice Cream', 'Desserts']",10 AM to 5 AM,Below 500,3.94,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2
24,SKYHY,https://www.zomato.com/hyderabad/skyhy-gachibowli,1400,"['North Indian', 'Chinese', 'Continental']","12 Noon to 12 Midnight (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",1000-1500,3.37,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,3
25,Tiki Shack,https://www.zomato.com/hyderabad/tiki-shack-gachibowli,1000,['Continental'],"12Noon to 11PM (Mon-Thu),12Noon to 11:30PM (Fri-Sun)",900-1000,3.48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
26,Mustang Terrace Lounge,https://www.zomato.com/hyderabad/mustang-terrace-lounge-gachibowli,1300,"['Mexican', 'Italian', 'North Indian', 'Chinese', 'Salad']","12 Noon to 11:30 PM (Mon-Wed), 12 Noon to 1 AM (Fri-Sat), 12 Noon to 12 Midnight (Sun), Thu Closed",1000-1500,3.31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,2,3
27,"3B's - Buddies, Bar & Barbecue",https://www.zomato.com/hyderabad/3bs-buddies-bar-barbecue-gachibowli,1100,"['North Indian', 'Mediterranean', 'European']","12 Noon to 4 PM, 6:30 PM to 11:30 PM",1000-1500,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,4
28,Behrouz Biryani,https://www.zomato.com/hyderabad/behrouz-biryani-gachibowli,600,"['Mughlai', 'Biryani']",10 AM to 1 AM,500-600,2.825,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
29,Hunger Maggi Point,https://www.zomato.com/hyderabad/hunger-maggi-point-gachibowli,200,['Fast Food'],4:30 PM to 5:30 AM,Below 500,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
